cluster,table,domain,column_count,app_file_refs,live_rows,column_overlap_with_siblings,fk_targets,verdict,evidence
Inventory / stock,inventory_items,Inventory,18,16,0,inventory_stock:11% store_stock:11% stock_transactions:17% store_stock_movements:22% drug_batches:33%,hospitals,VALID SEPARATION,Item master (definition). Distinct from stock quantity tables.
Inventory / stock,inventory_stock,Inventory,13,14,0,inventory_items:15% store_stock:69% stock_transactions:23% store_stock_movements:38% drug_batches:54%,vendors|hospitals|inventory_items,VALID SEPARATION,Quantity-on-hand per item/location. Complements inventory_items.
Inventory / stock,store_stock,Inventory,11,4,0,inventory_items:18% inventory_stock:82% stock_transactions:27% store_stock_movements:55% drug_batches:55%,vendors|hospitals|inventory_items|store_locations,PARTIAL OVERLAP,Store-scoped stock vs inventory_stock; boundary undocumented - confirm with owner.
Inventory / stock,stock_transactions,Inventory,12,6,0,inventory_items:25% inventory_stock:25% store_stock:25% store_stock_movements:42% drug_batches:25%,users|departments|hospitals|inventory_items,VALID SEPARATION,Movement ledger; different grain from balance tables.
Inventory / stock,store_stock_movements,Inventory,15,4,0,inventory_items:27% inventory_stock:33% store_stock:40% stock_transactions:33% drug_batches:27%,hospitals|store_indents|inventory_items|users,PARTIAL OVERLAP,Overlaps stock_transactions in purpose; both are movement logs.
Inventory / stock,drug_batches,Pharmacy,20,20,22,inventory_items:30% inventory_stock:35% store_stock:30% stock_transactions:15% store_stock_movements:20%,drug_master|hospitals|store_locations,VALID SEPARATION,22 rows. Batch/expiry tracking is pharmacy-specific and legally required.
Insurance & government claims,insurance_claims,Insurance,62,21,0,pmjay_claims:27% govt_scheme_claims:21%,admissions|bills|users|hospitals,VALID SEPARATION,"62 cols, 4 CHECKs for appeal/HCX/rejection/submission. Private TPA workflow."
Insurance & government claims,pmjay_claims,PM-JAY,23,6,0,insurance_claims:74% govt_scheme_claims:52%,admissions|bills|hospitals|patients,VALID SEPARATION,PM-JAY national scheme has distinct mandatory fields and lifecycle.
Insurance & government claims,govt_scheme_claims,PM-JAY,20,3,0,insurance_claims:65% pmjay_claims:60%,,VALID SEPARATION,State scheme workflow; separate regulatory schema.
Drug master data,drug_master,Pharmacy,21,20,25,ayush_drug_master:19% lab_test_master:19% radiology_study_master:14%,hospitals,VALID SEPARATION,25 rows. Allopathic formulary.
Drug master data,ayush_drug_master,Other,12,1,0,drug_master:33% lab_test_master:33% radiology_study_master:33%,hospitals,VALID SEPARATION,AYUSH regulatory schema differs from allopathic.
