"TC#","Section","Priority","Test Case","Steps","Expected Result","Status(PASS/FAIL/BLOCKED)","mock data","Cross-Module Link","Settings need to set before entering to the module","Actual Result(What happened)","Console Error(Copy-paste red text)","Screenshot(Y/N)","Notes","Journey Scenario","Why This Exists","Test Type","Role/Login","Supabase Verify","Playwright Spec","Defect ID"
"TC-P5A-001","5A Outpatient Lab","P1","Cash OPD lab: consultation to the doctor's chart, with the money on the bill","1) [setup] Provision the case patient and repair any missing lab masters 2) [doctor] Log in and open /opd 3) [doctor] Register the walk-in by UHID and issue a token 4) [verify] Read opd_tokens and confirm the token belongs to this patient 5) [doctor] Open the token and start the consultation 6) [doctor] NEGATIVE: complete the consultation with an empty chief complaint 7) [doctor] Record the chief complaint 8) [doctor] Prescribe Haemoglobin in the Rx & Orders tab 9) [doctor] Complete the consultation 10) [verify] BOUNDARY: Read lab_orders and confirm the consultation raised NO order yet 11) [lab_technician] Log in and open /lab -> Pending from OPD 12) [lab_technician] Open Create Order and confirm patient and test arrived preselected 13) [lab_technician] Proceed to payment and price every unpriced test 14) [lab_technician] Take the cash and create the order 15) [lab_technician] Read the receipt and close the wizard 16) [verify] Read lab_orders: one billed order at status ordered 17) [verify] BOUNDARY: accession_number matches ACC-YYYYMMDD-NNNN 18) [verify] Read lab_order_items and lab_samples: items exist, sample is pending 19) [verify] Read bills: a final, paid lab bill with a non-zero total 20) [verify] BOUNDARY: exactly one bill_line_items row carries the lab dedupe key 21) [lab_technician] Open /lab -> Collection -> To Collect 22) [lab_technician] NEGATIVE: Confirm & Collect stays disabled until identity is attested 23) [lab_technician] Tick the two-identifier check and collect the sample 24) [verify] Read lab_samples: collected, with collected_at and collected_by 25) [verify] Read lab_orders: the order moved to sample_collected 26) [lab_technician] Receive the sample into the laboratory 27) [lab_technician] Start processing on the bench 28) [verify] Read lab_samples and lab_orders: received_at stamped, order in_process 29) [lab_technician] Open the order in the worklist result workspace 30) [lab_technician] BOUNDARY: enter Haemoglobin 14.5 and confirm it flags N, not H 31) [verify] Read lab_order_items: the typed value persisted on blur 32) [lab_technician] Release the report 33) [verify] Read lab_orders: the order advanced to completed or pending_validation 34) [verify] Read clinical_alerts: a result-ready alert names the ordering doctor 35) [doctor] Log back in and open the patient on /opd 36) [doctor] Open the Reports tab and read the released Haemoglobin 37) [verify] Read lab_orders: billing_status is billed, so nothing leaks unbilled 38) [verify] BOUNDARY: still exactly one dedupe-keyed charge line after release","The journey completes all 38 stages. 2 negative condition(s) are refused as described in the steps and 5 boundary value(s) behave exactly as stated. Verify in Supabase: lab_orders where patient_id = the case patient -> 1 row, status ordered then sample_collected then completed, accession_number matching ACC-YYYYMMDD-NNNN; lab_samples -> collected_at and collected_by set; bills where bill_type = lab -> bill_status final, payment_status paid; bill_line_items where source_dedupe_key = lab:<item id> -> exactly 1","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5A001-<run> ""Girish Reddy 5A001-<run>"" (71M), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","OPD, Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S01","This is the journey a hospital actually buys. Every other case in the phase starts in the middle of it with a seeded order, which proves each stage works but never proves the stages hand off to each other — the only thing that matters on go-live day. It crosses four modules and three people in one sitting, so a broken hand-off has exactly one place to show up.","Cross-Module","doctor (Hospital A) then lab_technician (Hospital A) then doctor (Hospital A)","lab_orders where patient_id = the case patient -> 1 row, status ordered then sample_collected then completed, accession_number matching ACC-YYYYMMDD-NNNN; lab_samples -> collected_at and collected_by set; bills where bill_type = lab -> bill_status final, payment_status paid; bill_line_items where source_dedupe_key = lab:<item id> -> exactly 1","e2e/phase-05-lab-radiology/P5A.outpatient-lab.spec.ts",""
"TC-P5A-002","5A Outpatient Lab","P1","Panel ordering: the group price wins, and the members ride on it","1) [setup] Provision the case patient and confirm the panel has members 2) [verify] Read lab_test_groups and lab_test_group_items: the panel is complete 3) [doctor] Log in and open /opd 4) [doctor] Register the walk-in and start a consultation 5) [doctor] Prescribe all three Fever Panel members 6) [doctor] Complete the consultation 7) [lab_technician] Open /lab -> Pending from OPD and create the order 8) [lab_technician] Confirm all three members arrived preselected 9) [lab_technician] Proceed to payment and read the quoted total 10) [lab_technician] BOUNDARY: the quote is the group fee, not the member sum 11) [lab_technician] Take the cash and create the order 12) [verify] BOUNDARY: Read bills: the header total equals the group fee 13) [verify] NEGATIVE: no bill_line_items row is written at a zero rate 14) [verify] NEGATIVE: no line carries the placeholder description ""Lab: Test"" 15) [verify] BOUNDARY: the sum of the line items equals the bill header 16) [lab_technician] Open /lab -> Collection and draw the panel sample 17) [lab_technician] Receive and process the sample 18) [lab_technician] Open the order and enter a result for every member 19) [verify] Read lab_order_items: all three members carry values 20) [lab_technician] Release the panel report 21) [verify] Read lab_orders: the panel completed as one order 22) [lab_technician] Order a single panel member on a second order 23) [lab_technician] BOUNDARY: one of three members is billed the individual fee 24) [verify] BOUNDARY: Read bills: the partial order did not take the group price","The journey completes all 24 stages. 2 negative condition(s) are refused as described in the steps and 5 boundary value(s) behave exactly as stated. Verify in Supabase: bills where bill_type = lab -> total_amount equals the group fee, not the member sum; bill_line_items for that bill -> no row with unit_rate = 0 or description ""Lab: Test"", and the sum of line totals equals the bill header","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5A002-<run> ""Aruna Verma 5A002-<run>"" (54F), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","OPD, Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S04","A panel exists so a hospital can discount a bundle. Group rates are keyed by group_id while the bill-line loop looks them up by test_id, so every group-covered test can be written at a zero rate with the placeholder description ""Lab: Test"" while the bill header still carries the panel fee. The bill then does not add up, and nobody notices until reconciliation.","Boundary","doctor (Hospital A) then lab_technician (Hospital A)","bills where bill_type = lab -> total_amount equals the group fee, not the member sum; bill_line_items for that bill -> no row with unit_rate = 0 or description ""Lab: Test"", and the sum of line totals equals the bill header","e2e/phase-05-lab-radiology/P5A.outpatient-lab.spec.ts",""
"TC-P5A-003","5A Outpatient Lab","P1","Direct desk order: the New Lab Order modal end to end, and every way it refuses","1) [setup] Provision the case patient and repair any missing lab masters 2) [lab_technician] Log in and open /lab -> Worklist 3) [lab_technician] Open the New Lab Order modal 4) [lab_technician] NEGATIVE: Proceed is disabled with no patient and no tests 5) [lab_technician] Search the patient by UHID and select them 6) [lab_technician] NEGATIVE: Proceed is still disabled with a patient but no tests 7) [lab_technician] NEGATIVE: search an off-catalogue misspelling and find nothing to add 8) [lab_technician] Choose the referring doctor from the dropdown 9) [lab_technician] Set priority to Routine, then Urgent, then STAT 10) [lab_technician] Confirm the STAT banner warns the lab must be told verbally 11) [lab_technician] Add a test from the catalogue search 12) [lab_technician] Remove the test again with its chip, then re-add it 13) [lab_technician] Fill the clinical notes / indication 14) [lab_technician] Proceed to payment 15) [lab_technician] Read the subtotal, GST and total payable rows 16) [lab_technician] BOUNDARY: Go Back to the order step and confirm the selection survived 17) [lab_technician] Proceed to payment again and choose UPI 18) [lab_technician] Fill the UPI reference and take the payment 19) [lab_technician] Read the receipt: bill number, patient, tests, amount paid 20) [lab_technician] Close the wizard with Done 21) [verify] Read lab_orders: exactly one STAT order at status ordered 22) [verify] Read clinical_alerts: a stat_lab_order alert was raised 23) [verify] Read bills and bill_payments: the UPI reference was recorded 24) [verify] BOUNDARY: exactly one dedupe-keyed charge line, not two","The journey completes all 24 stages. 3 negative condition(s) are refused as described in the steps and 2 boundary value(s) behave exactly as stated. Verify in Supabase: lab_orders where patient_id = the case patient -> exactly 1 row after the valid submission and no rows after each refused attempt; bills where bill_type = lab -> 1 final paid bill","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5A003-<run> ""Pradeep Nair 5A003-<run>"" (37M), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S01","Not every test is prescribed in a consultation — a patient walks up to the counter and asks for one. That path has its own modal with its own validation, and it is where an order gets created against the wrong patient, at the wrong price, or for a test the catalogue does not have. Every field and every refusal in this wizard is money or identity.","Negative","lab_technician (Hospital A)","lab_orders where patient_id = the case patient -> exactly 1 row after the valid submission and no rows after each refused attempt; bills where bill_type = lab -> 1 final paid bill","e2e/phase-05-lab-radiology/P5A.outpatient-lab.spec.ts",""
"TC-P5B-001","5B Inpatient Lab & Ancillary Money","P1","Post-paid ward round: the charge accrues to the admission and no cash step exists","1) [setup] Resolve the admitted patient and repair any missing lab masters 2) [hospital_admin] Open /settings/approvals and read the IPD ancillary policy 3) [hospital_admin] Set the lab ancillary mode to post_paid 4) [verify] Read hospital_settings: ipd_ancillary_payment lab mode is post_paid 5) [lab_technician] Log in and open /lab -> Worklist 6) [lab_technician] Open the New Lab Order modal and select the admitted patient 7) [lab_technician] Confirm the admission is linked in the order 8) [lab_technician] Add a routine test 9) [lab_technician] BOUNDARY: the primary button offers Charge to Advance, not Proceed to Payment 10) [lab_technician] Create the order against the admission 11) [verify] Read lab_orders: admission_id is set and billing_status is not unbilled 12) [verify] NEGATIVE: read bills — no separate lab bill was raised 13) [verify] Read bill_line_items: the charge accrued under the lab dedupe key 14) [lab_technician] Open /lab -> Collection -> To Collect 15) [lab_technician] NEGATIVE: no payment-pending dialog blocks a post-paid draw 16) [lab_technician] Collect the sample after the two-identifier check 17) [verify] Read lab_samples: the ward sample was collected immediately 18) [lab_technician] Receive and process the sample 19) [lab_technician] Enter a result and release the report 20) [verify] BOUNDARY: still no separate lab bill after release 21) [verify] BOUNDARY: exactly one dedupe-keyed charge line, not a second at release 22) [hospital_admin] Restore the ancillary policy to its original value","The journey completes all 22 stages. 2 negative condition(s) are refused as described in the steps and 3 boundary value(s) behave exactly as stated. Verify in Supabase: bills where patient_id = PT-QA-0018 and bill_type = lab -> 0 rows; bill_line_items where source_dedupe_key = lab:<item id> -> at most 1, attached to the admission bill; lab_orders -> admission_id set, billing_status not unbilled","","Phase 5 additions (mock-data.json phase5 block). REUSES the seeded patient PT-QA-0018 — the charge must accrue against a LIVE admission; a fresh patient has none. Seeded via the service role (see p5-seed-of-last-resort.ts): seededPatient(PT-QA-0018) — an existing admission.","IPD, Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment; ipd_ancillary_payment lab mode = post_paid","","","","","P5-S02","A ward round cannot stop to send a relative to a counter. Under post-paid the order must be raised and the sample drawn immediately, with the charge accruing to the admission and settling once at discharge. A separate lab bill here sends a family to pay twice, and a charge that never accrues is an investigation the hospital performed for free.","Cross-Module","hospital_admin (Hospital A) then lab_technician (Hospital A)","bills where patient_id = PT-QA-0018 and bill_type = lab -> 0 rows; bill_line_items where source_dedupe_key = lab:<item id> -> at most 1, attached to the admission bill; lab_orders -> admission_id set, billing_status not unbilled","e2e/phase-05-lab-radiology/P5B.inpatient-lab-money.spec.ts",""
"TC-P5B-002","5B Inpatient Lab & Ancillary Money","P1","Pre-paid gate: the four ways it holds, and the two ways it is bypassed","1) [setup] Resolve the admitted patient and repair any missing lab masters 2) [hospital_admin] Open /settings/approvals and set the lab ancillary mode to pre_paid 3) [verify] Read hospital_settings: the tenant is now pay-before-service 4) [lab_technician] Raise a routine ward order through the New Lab Order modal 5) [lab_technician] Open /lab -> Collection -> To Collect and press Collect 6) [lab_technician] NEGATIVE: the payment-pending dialog blocks the draw 7) [lab_technician] Read the amount due and the counter instruction 8) [verify] NEGATIVE: Read lab_samples: the sample is still pending, not collected 9) [lab_technician] NEGATIVE: Confirm override stays disabled with no reason typed 10) [lab_technician] Type a clinical override reason and confirm 11) [verify] Read lab_samples: the override released the draw 12) [verify] Read clinical_alerts: the override is recorded with its reason and author 13) [lab_technician] Raise a second, STAT ward order 14) [lab_technician] BOUNDARY: a STAT order collects with no gate and no override 15) [verify] BOUNDARY: Read lab_samples: the STAT sample was collected 16) [lab_technician] Raise a third order and confirm no charge row was posted for it 17) [lab_technician] BOUNDARY: with no charge posted the gate fails open 18) [lab_technician] Open the blocked order in the result workspace 19) [lab_technician] NEGATIVE: Mark Collected in the workspace must not silently no-op 20) [lab_technician] NEGATIVE: an authenticated direct API write bypasses the gate entirely 21) [verify] NEGATIVE: Read lab_samples: the gate is client-side only, with no database trigger 22) [hospital_admin] Restore the ancillary policy to its original value","The journey completes all 22 stages. 6 negative condition(s) are refused as described in the steps and 3 boundary value(s) behave exactly as stated. Verify in Supabase: lab_samples for the blocked order -> status stays pending; clinical_alerts -> one ipd_ancillary_payment_override row naming the technician and carrying the reason; the STAT order -> sample collected without an override","","Phase 5 additions (mock-data.json phase5 block). REUSES the seeded patient PT-QA-0018 — the gate only engages against a live admission. Seeded via the service role (see p5-seed-of-last-resort.ts): seededPatient(PT-QA-0018) — an existing admission.","IPD, Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment; ipd_ancillary_payment lab mode = pre_paid","","","","","P5-S03","A hospital that has chosen pay-before-service is relying on this gate for its cash flow, and a hospital that has not must never see it. Both halves are one code path with seven rules, and two of them are safety valves: a STAT potassium on a ventilated patient must never wait at a billing counter, and an order whose charge failed must not strand the patient either.","Negative","hospital_admin (Hospital A) then lab_technician (Hospital A)","lab_samples for the blocked order -> status stays pending; clinical_alerts -> one ipd_ancillary_payment_override row naming the technician and carrying the reason; the STAT order -> sample collected without an override","e2e/phase-05-lab-radiology/P5B.inpatient-lab-money.spec.ts",""
"TC-P5C-001","5C Specimen Lifecycle","P1","Rejection and recollection: eight reasons, and the two ways rejection is wrong","1) [setup] Provision the case patient and repair any missing lab masters 2) [lab_technician] Log in and raise a single-tube order through the New Lab Order modal 3) [verify] Read bills: record the bill count before any rejection 4) [lab_technician] Open /lab -> Collection -> To Collect 5) [lab_technician] NEGATIVE: Reject is offered on a tube that has never been drawn 6) [lab_technician] Collect the sample properly after the identity check 7) [lab_technician] Move to the Collected tab and open the Reject dialog 8) [lab_technician] Read all eight rejection reasons offered as radio options 9) [lab_technician] BOUNDARY: select each of the eight reasons in turn in the dialog 10) [lab_technician] NEGATIVE: cancel the dialog and confirm nothing was rejected 11) [verify] NEGATIVE: Read lab_samples: the sample is still collected, not rejected 12) [lab_technician] Re-open the dialog, choose Hemolyzed and add a note 13) [lab_technician] Confirm Reject & Queue Recollection 14) [verify] Read lab_samples: the tube is rejected and carries its reason 15) [verify] Read lab_samples: a new pending recollection was queued 16) [verify] BOUNDARY: the recollection links to the tube it replaces and has a new barcode 17) [verify] Read lab_orders: the order was rewound to ordered 18) [verify] NEGATIVE: read bills — the patient was NOT charged a second time 19) [lab_technician] Open the Rejected tab and read the Reason column 20) [lab_technician] Draw the recollection tube and take it through to a result 21) [verify] Read lab_order_items: the replacement tube produced the result 22) [lab_technician] Raise a second, two-tube order for the multi-tube branch 23) [lab_technician] Collect both tubes, then reject only one 24) [verify] BOUNDARY: with one tube still viable the order is NOT rewound 25) [verify] BOUNDARY: only the spoiled tube has a recollection queued 26) [verify] NEGATIVE: read nabh_evidence_log — a rejection writes no quality evidence","The journey completes all 26 stages. 5 negative condition(s) are refused as described in the steps and 4 boundary value(s) behave exactly as stated. Verify in Supabase: lab_samples for the order -> the rejected row carries rejection_reason and the new pending row carries recollected_from_sample_id pointing at it, with a different barcode; bills -> the count is unchanged across the rejection","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5C001-<run> ""Pradeep Nair 5C001-<run>"" (37M), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","Lab, Billing","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S06","A haemolysed tube is an ordinary morning in a laboratory. What must not be ordinary is charging the patient twice for it, losing the link between the spoiled tube and its replacement, or rewinding an order that still has a viable sample on the bench. The reason is also the quality record — a rejection with no reason cannot be trended and cannot be fixed.","Negative","lab_technician (Hospital A)","lab_samples for the order -> the rejected row carries rejection_reason and the new pending row carries recollected_from_sample_id pointing at it, with a different barcode; bills -> the count is unchanged across the rejection","e2e/phase-05-lab-radiology/P5C.specimen-lifecycle.spec.ts",""
"TC-P5C-002","5C Specimen Lifecycle","P1","Chain of custody: barcode, receipt, processing and the mix-up guard","1) [setup] Provision the case patient and repair any missing lab masters 2) [lab_technician] Raise a first order through the New Lab Order modal 3) [lab_technician] Raise a second order on the same patient 4) [verify] BOUNDARY: read lab_orders — the accession matches ACC-YYYYMMDD-NNNN 5) [verify] BOUNDARY: read lab_samples — the barcode is not the accession number 6) [verify] BOUNDARY: the two orders carry different, unique barcodes 7) [lab_technician] Open /lab -> Collection and read the Accession column 8) [lab_technician] Print the barcode label and confirm the popup is dispatched 9) [lab_technician] Collect the first sample after the identity check 10) [verify] Read lab_samples: collected_at and collected_by are both stamped 11) [verify] Read lab_order_items: the item-level collector agrees with the sample 12) [lab_technician] Receive the sample and confirm it leaves the Collected tab 13) [verify] Read lab_samples: received_at is stamped 14) [lab_technician] Start processing and confirm it leaves the Received tab 15) [verify] Read lab_orders and lab_order_items: both moved to in_process 16) [lab_technician] Open the order and switch to the Sample sub-tab 17) [lab_technician] Read the six-step custody stepper and the barcode chip 18) [lab_technician] NEGATIVE: the bench cannot skip a state — Receive is gone once received 19) [lab_technician] Enter a result and read the Sample tab banner change 20) [lab_technician] Check the sample-integrity panel for a mix-up indicator 21) [lab_technician] Release the report 22) [verify] Read lab_orders: the custody chain ends at a released order","The journey completes all 22 stages. 1 negative condition(s) are refused as described in the steps and 3 boundary value(s) behave exactly as stated. Verify in Supabase: lab_orders.accession_number matches ACC-YYYYMMDD-NNNN; lab_samples.barcode is non-empty, differs from the accession, and is unique across two orders on the same patient; each transition stamps its actor and timestamp","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5C002-<run> ""Jyothi Gupta 5C002-<run>"" (68F), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","Lab","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S05","The accession number and the sample barcode are different identifiers and are routinely confused: the printed label carries one and the bench scans the other. A label that identifies a different thing from what the bench reads is how the wrong result reaches the wrong patient, and every state between the draw and the bench must be attributable when a mix-up is suspected.","Positive","lab_technician (Hospital A)","lab_orders.accession_number matches ACC-YYYYMMDD-NNNN; lab_samples.barcode is non-empty, differs from the accession, and is unique across two orders on the same patient; each transition stamps its actor and timestamp","e2e/phase-05-lab-radiology/P5C.specimen-lifecycle.spec.ts",""
"TC-P5D-001","5D Result Correctness","P1","Critical value: the boundary battery and the phone call","1) [setup] Provision the case patient and repair any missing lab masters 2) [verify] Read lab_test_master: the catalogue carries critical_low and critical_high 3) [verify] BOUNDARY: the mock boundary values straddle this tenant thresholds 4) [lab_technician] Open /lab and raise a potassium order, then take it to the bench 5) [lab_technician] Open the order in the result workspace 6) [lab_technician] BOUNDARY: enter the value equal to normal_max and read the flag 7) [verify] BOUNDARY: Read lab_order_items: normal_max exactly must flag N, not H 8) [lab_technician] BOUNDARY: enter the value just above normal_max 9) [verify] BOUNDARY: Read lab_order_items: just above normal_max flags H 10) [verify] NEGATIVE: read clinical_alerts — a merely high value raises NO critical alert 11) [lab_technician] BOUNDARY: enter the value exactly at critical_high 12) [verify] BOUNDARY: Read lab_order_items: at the threshold exactly is H, not CH — the test is strict 13) [lab_technician] BOUNDARY: enter the value one step over critical_high 14) [verify] BOUNDARY: Read lab_order_items: one step over the threshold flags CH 15) [lab_technician] Enter the frankly critical potassium of 7.2 16) [verify] Read lab_order_items: 7.2 flags CH 17) [verify] Read clinical_alerts: a critical_lab_value alert was raised at severity critical 18) [verify] Read clinical_alerts: the message names the test and carries the value 19) [verify] Read clinical_alerts: the alert links back to the result item 20) [lab_technician] Read the critical banner telling the technician to telephone 21) [lab_technician] NEGATIVE: release is refused while the critical is unacknowledged 22) [lab_technician] NEGATIVE: Acknowledge stays disabled until the notify box is ticked 23) [lab_technician] Tick the notification box and acknowledge the critical value 24) [verify] Read lab_order_items: the acknowledgement records who and when 25) [verify] Read clinical_alerts: the alert closed when the item was acknowledged 26) [lab_technician] Release the report now that the doctor has been told 27) [verify] Read lab_orders: the released order advanced 28) [doctor] Log in and read the critical result on the patient chart 29) [verify] NEGATIVE: read nabh_evidence_log — the critical notification writes no evidence","The journey completes all 29 stages. 4 negative condition(s) are refused as described in the steps and 9 boundary value(s) behave exactly as stated. Verify in Supabase: lab_order_items -> result_flag CH at 7.2, H at critical_high exactly, N at normal_max, critical_acknowledged and critical_acknowledged_by set after the call; clinical_alerts -> one critical_lab_value row at severity critical, naming the test and the value, closed on acknowledgement","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5D001-<run> ""Jyothi Gupta 5D001-<run>"" (68F), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","Lab, OPD","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S07","A potassium of 7.2 is a cardiac arrest risk within hours, and the only thing that reaches the treating doctor is the alert row — a flag on a screen nobody is watching is not a notification. The boundaries matter just as much in the other direction: a range that flags its own upper bound produces a flagged result on every healthy patient, and alert fatigue is how a real critical value gets scrolled past.","Boundary","lab_technician (Hospital A) then doctor (Hospital A)","lab_order_items -> result_flag CH at 7.2, H at critical_high exactly, N at normal_max, critical_acknowledged and critical_acknowledged_by set after the call; clinical_alerts -> one critical_lab_value row at severity critical, naming the test and the value, closed on acknowledgement","e2e/phase-05-lab-radiology/P5D.result-correctness.spec.ts",""
"TC-P5D-002","5D Result Correctness","P1","Delta check: a 30-day-old baseline, a real swing, and the two false positives","1) [setup] Provision the CKD case patient and repair any missing lab masters 2) [setup] Back-date a validated creatinine of 0.9 into lab_order_items, 30 days ago 3) [verify] Read lab_order_items: the baseline is visible to the delta lookup 4) [lab_technician] Open /lab and raise a creatinine order, then take it to the bench 5) [lab_technician] Open the order and switch to the History sub-tab 6) [lab_technician] Confirm the 30-day-old baseline is visible to the technician 7) [lab_technician] Enter the new creatinine of 4.5 8) [verify] Read lab_order_items: the result saved at all 9) [verify] Read lab_order_items: the swing raised delta_flag 10) [verify] Read lab_order_items: previous_value carries the baseline to compare against 11) [lab_technician] Read the delta badge shown beside the result 12) [verify] Read clinical_alerts: a lab_trend alert reached the treating team 13) [lab_technician] NEGATIVE: a delta-flagged result must not auto-verify 14) [lab_technician] Release the flagged result after review 15) [lab_technician] Raise a second creatinine order on the same patient 16) [lab_technician] BOUNDARY: enter a value within 50% of the previous result 17) [verify] BOUNDARY: Read lab_order_items: ordinary variation is NOT delta-flagged 18) [lab_technician] Raise a third order for a test this patient has never had 19) [lab_technician] BOUNDARY: enter the first ever result for that test 20) [verify] BOUNDARY: Read lab_order_items: a first result carries no delta_flag 21) [verify] BOUNDARY: Read lab_order_items: a first result carries no previous_value","The journey completes all 21 stages. 1 negative condition(s) are refused as described in the steps and 5 boundary value(s) behave exactly as stated. Verify in Supabase: lab_order_items -> result_value saved at all, delta_flag set, previous_value equal to the baseline; clinical_alerts -> a lab_trend row; the sub-50% and first-ever cases carry no delta_flag and no previous_value","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5D002-<run> ""Ravindra Rao 5D002-<run>"" (51M), created by the run and never deleted. Seeded via the service role (see p5-seed-of-last-resort.ts): seedPriorResult() — a validated creatinine dated 30 days ago, which cannot be created in real time.","Lab","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S08","The delta check catches the result that is individually plausible but impossible for THIS patient in this interval. A creatinine of 4.5 in a patient last seen at 0.9 is acute kidney injury; unflagged it is released as a routine abnormal and found when the patient deteriorates. The false-positive side matters equally — a check that fires on ordinary biological variation flags most of the day and the reviewer stops reading the flags.","Boundary","lab_technician (Hospital A)","lab_order_items -> result_value saved at all, delta_flag set, previous_value equal to the baseline; clinical_alerts -> a lab_trend row; the sub-50% and first-ever cases carry no delta_flag and no previous_value","e2e/phase-05-lab-radiology/P5D.result-correctness.spec.ts",""
"TC-P5D-003","5D Result Correctness","P2","The result workspace, exhaustively: every sub-tab, every button, every output","1) [setup] Provision the case patient and repair any missing lab masters 2) [verify] Read lab_test_master: at least one test is opted into auto-verification 3) [lab_technician] Raise a multi-test order including a culture and take it to the bench 4) [lab_technician] Open the order and read the Results table headers 5) [lab_technician] Read the order header: id, priority chip, ordering doctor and TAT target 6) [lab_technician] Enter a normal value on the auto-verify-eligible test 7) [verify] Read lab_order_items: a normal result auto-verified without a technician 8) [verify] Read lab_order_items: the auto-verification recorded its reason 9) [lab_technician] NEGATIVE: enter an abnormal value and confirm it does NOT auto-verify 10) [lab_technician] Enter a qualitative result from the Positive/Negative dropdown 11) [verify] Read lab_order_items: the qualitative value persisted 12) [lab_technician] Press Save All and read the saved-count toast 13) [lab_technician] Fill the antibiogram specimen type, organism and colony count 14) [lab_technician] Set sensitivities across the antibiogram drug grid 15) [lab_technician] NEGATIVE: Save Antibiogram is refused with no organism named 16) [lab_technician] Save the antibiogram as preliminary, then as final 17) [verify] Read lab_results: the organism and its sensitivities persisted 18) [lab_technician] Write and save an interpretive comment 19) [lab_technician] Switch to the Sample sub-tab and read the custody stepper 20) [lab_technician] Switch to the History sub-tab 21) [lab_technician] Switch to the Notes sub-tab and type lab notes 22) [verify] BOUNDARY: Read lab_orders: the notes committed on blur, not on change 23) [lab_technician] Open the Cumulative trend view 24) [lab_technician] NEGATIVE: WhatsApp delivery is refused before the report is released 25) [lab_technician] Release the report 26) [lab_technician] Dispatch Print Report and confirm the popup is offered 27) [lab_technician] BOUNDARY: a released result is read-only, not an editable box 28) [verify] Read lab_orders: the order is completed with every value intact","The journey completes all 28 stages. 3 negative condition(s) are refused as described in the steps and 2 boundary value(s) behave exactly as stated. Verify in Supabase: lab_order_items -> values persist from both the numeric and the qualitative input, and from Save All; lab_orders -> notes saved on blur; the antibiogram writes its organism and sensitivities; verification_method is auto for an eligible normal","","Phase 5 additions (mock-data.json phase5 block). Own patient PT-QA-5D003-<run> ""Usha Bhat 5D003-<run>"" (34F), created by the run and never deleted. Nothing is seeded — every stage goes through the browser.","Lab","Tier 0 complete; lab_test_master active with fees, reference AND critical ranges; lab_test_groups with members; radiology modalities + studies with requires_form_f; pcpndt_settings; hospital_settings.ipd_ancillary_payment","","","","","P5-S09","The result workspace is where a technician spends the day, and most of it has never been clicked: four sub-tabs, Save All, the notes box that commits on blur, the antibiogram grid, the interpretive comment, the cumulative view, and the two delivery buttons. A control that is broken here is broken for every result the laboratory issues.","Positive","lab_technician (Hospital A)","lab_order_items -> values persist from both the numeric and the qualitative input, and from Save All; lab_orders -> notes saved on blur; the antibiogram writes its organism and sensitivities; verification_method is auto for an eligible normal","e2e/phase-05-lab-radiology/P5D.result-correctness.spec.ts",""
