TC#,Section,Test Case,Steps,Expected Result,Status(PASS/FAIL/BLOCKED),mock data,Cross-Module Link,Settings need to set before entering to the module,Actual Result(What happened),Console Error(Copy-paste red text),Screenshot(Y/N),Notes,Journey Scenario,Why This Exists,Test Type,Role/Login,Supabase Verify,Playwright Spec,Defect ID
TC-P1A-001,1A Registration,Registration page loads with step 1 of 5,1) Open /register in a fresh incognito window 2) Observe the wizard,Step 1 'Hospital Identity' renders with a 5-step progress bar. No console errors.,Pass,None,,None - public route,,,,,P1-Setup,A hospital cannot become a customer if it cannot sign up. This is the very first screen anyone outside your company ever sees.,Positive,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-002,1A Registration,Step 1 accepts valid hospital identity,1) Enter Hospital Name 'Aarogya Multispecialty Hospital' 2) Select Type 'Private Hospital' 3) Select State 'Telangana' 4) Select Bed Count '101-200 beds' 5) Enter Phone 9876500001 6) Click Next,Next is enabled and the wizard advances to step 2.,Pass,Hospital A identity block,,None,,,,,P1-Setup,Hospital type and bed count drive plan pricing and default module selection - wrong data here mis-prices the customer.,Positive,Logged out,hospitals - after full signup,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-003,1A Registration,Step 1 Next is disabled with any field blank,1) Fill every field except State 2) Observe the Next button,Next stays disabled. No way to advance with incomplete identity.,Pass,Hospital A minus State,,None,,,,,P1-Setup,A hospital record without a state breaks GST place-of-supply and state scheme eligibility downstream.,Negative,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-004,1A Registration,Phone accepts exactly 10 digits,1) Enter phone 98765 2) Try Next 3) Enter 98765000011 (11 digits) 4) Try Next 5) Enter 9876500001 6) Try Next,Only the 10-digit value is accepted. Shorter and longer are rejected.,Pass,9876500001,,None,,,,,P1-Setup,Indian mobile numbers are 10 digits. A malformed number means OTP and WhatsApp never reach the customer.,Boundary,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-005,1A Registration,Phone rejects letters and symbols,1) Type 'abcdefghij' into Phone 2) Type '98765-0001',Non-numeric input is rejected or stripped.,Pass,abcdefghij,,None,,,,,P1-Setup,Free-text phone fields are the most common source of unusable contact data.,Negative,Logged out,None,MANUAL-ONLY,
TC-P1A-006,1A Registration,Phone OTP is sent and verifies,1) Complete step 1 with phone 9876500001 2) Click Verify 3) Retrieve the OTP 4) Enter it 5) Submit,"OTP accepted, phone shows verified, and a single-use token is held for the final submit.",Pass,9876500001,,Platform setting: OTP required toggle (see /platform/settings),,,,If OTP is not enabled on your platform settings this case is N/A - mark BLOCKED and note it,P1-Setup,OTP is the only thing stopping bulk fake signups from consuming your free trials.,Positive,Logged out,signup_otp_verifications,MANUAL-ONLY,
TC-P1A-007,1A Registration,Wrong OTP is rejected,1) Request an OTP 2) Enter 000000 3) Submit,Rejected with a clear message. Phone stays unverified. Registration cannot proceed.,Pass,OTP 000000,,OTP required enabled,,,,,P1-Setup,An OTP that accepts any value is the same as having no OTP at all.,Negative,Logged out,signup_otp_verifications,MANUAL-ONLY,
TC-P1A-008,1A Registration,Expired OTP is rejected,1) Request an OTP 2) Wait past the expiry window 3) Enter the correct code 4) Submit,Rejected as expired. A new OTP must be requested.,Pass,valid but stale OTP,,OTP required enabled,,,,,P1-Setup,An OTP with no expiry can be reused indefinitely if intercepted.,Negative,Logged out,signup_otp_verifications,MANUAL-ONLY,
TC-P1A-009,1A Registration,Step 2 accepts a valid admin account,1) Enter Full Name 'Dr. Ravi Shankar' 2) Email yeswanthvarma94+qa.admin.a@gmail.com 3) Password TestPass@2026 4) Confirm the same 5) Designation 'Medical Director' 6) Next,Advances to step 3.,Pass,Hospital A admin block,,None,,,,,P1-Setup,This account becomes the hospital administrator - the only person who can create every other login.,Positive,Logged out,users after signup,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-010,1A Registration,Malformed email is rejected,1) Enter 'notanemail' 2) Then 'a@b' 3) Then 'a@b.c' 4) Observe each,Only a properly formed address with a 2+ char TLD is accepted.,Pass,notanemail / a@b / a@b.c,,None,,,,,P1-Setup,The admin email is where account recovery goes. Wrong and the customer is locked out permanently.,Negative,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-011,1A Registration,Weak password is rejected,1) Enter 'pass' (too short) 2) Enter 'password' (no digit) 3) Enter '12345678' (no letter) 4) Enter 'TestPass@2026',First three rejected. Rule is 8+ characters with at least one letter and one digit.,Pass,pass / password / 12345678 / TestPass@2026,,None,,,,,P1-Setup,This account can see every patient record in the hospital. A weak password here is a data breach waiting to happen.,Negative,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-012,1A Registration,Mismatched password confirmation is rejected,1) Password TestPass@2026 2) Confirm TestPass@2025 3) Next,Rejected with a mismatch message.,Pass,TestPass@2026 / TestPass@2025,,None,,,,,P1-Setup,A typo in the password the user never sees means they cannot log in and do not know why.,Negative,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-013,1A Registration,Step 3 accepts hospital details,"1) Address 1 'Plot 42, Road No. 12, Banjara Hills' 2) Pincode 500034 3) City Hyderabad 4) GSTIN 36AABCA1234F1Z5 5) NABH Yes + NABH-QA-A-2026 6) Next",Advances to step 4.,Pass,Hospital A details block,,None,,,,,P1-Setup,Address and GSTIN print on every bill. NABH status drives empanelment eligibility.,Positive,Logged out,hospitals,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-014,1A Registration,Pincode must be exactly 6 digits,1) Enter 5000 2) Try Next 3) Enter 5000345 4) Try Next 5) Enter 500034 6) Try Next,Only the 6-digit value advances.,Pass,5000 / 5000345 / 500034,,None,,,,,P1-Setup,Indian PIN codes are 6 digits. Wrong length means undeliverable post and wrong state inference.,Boundary,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
