"TC#","Section","Priority","Test Case","Steps","Expected Result","Status(PASS/FAIL/BLOCKED)","mock data","Cross-Module Link","Settings need to set before entering to the module","Actual Result(What happened)","Console Error(Copy-paste red text)","Screenshot(Y/N)","Notes","Journey Scenario","Why This Exists","Test Type","Role/Login","Supabase Verify","Playwright Spec","Defect ID"
"TC-P3A-001","3A Registration","P2","Patient Registry screen loads and lists the seeded patients","1) Log in as hospital_admin (Hospital A) 2) Open /patients 3) Wait for the table to load","The Patient Registry table renders with a row per active seeded patient, header shows the total count badge, and no console errors are thrown.","","None","","Tier 0 complete; qa:seed run","","","","","P3-S01","If the registry does not load, every downstream module (OPD, Lab, Billing) has no patient to attach work to.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-002","3A Registration","P2","Register New Patient opens an empty form","1) Open /patients 2) Click ""Register New Patient""","A modal titled ""Register New Patient"" opens with Full Name, Phone and every other field blank, and the Register Patient button disabled (DPDP consent unticked).","","None","","None","","","","","P3-S01","A form pre-filled from a previous session would silently attach the wrong details to a new UHID.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-003","3A Registration","P1","Full-detail registration saves and issues a sequential UHID","1) Open /patients 2) Click ""Register New Patient"" 3) Fill Full Name, Phone, DOB, Gender, Blood Group, Address, Allergies, Chronic Conditions, Insurance ID, Emergency Contact Name/Phone from phase3.registration.full 4) Tick the DPDP consent checkbox 5) Click ""Register Patient""","A success toast shows the new UHID; the patient appears in the registry with every entered field intact.","","phase3.registration.full — Kavya Prasad","OPD, Billing","Tier 0 complete","","","","","P3-S01","This is the golden-path registration every other module (OPD token, lab order, bill) depends on existing correctly.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Kavya Prasad' and phone = '9876555001' → uhid not null","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-004","3A Registration","P2","UHID follows the hospital's configured prefix and date format","1) Note hospitals.uhid_prefix and uhid_date_format for Hospital A in Supabase 2) Register phase3.registration.full as in TC-P3A-003 3) Read the returned UHID Route: /patients","The UHID matches `<uhid_prefix>-<YYYYMMDD or YYYY or nothing per uhid_date_format>-<4-digit sequence>`, generated by the next_seq RPC — never a hardcoded ""UHID-"" prefix.","","phase3.registration.full","","Hospital Profile UHID format configured (Phase 2)","","","","","P3-S01","A hospital that customised its UHID prefix in Settings must see that prefix on every new registration, not a generic default that breaks their existing paper-record cross-reference.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Kavya Prasad' → uhid format","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-005","3A Registration","P1","Two same-day registrations receive consecutive UHID sequence numbers","1) Register phase3.registration.full 2) Immediately register phase3.registration.sameDaySecond 3) Compare the two returned UHIDs Route: /patients","The second UHID's 4-digit sequence is exactly one greater than the first's, proving the sequence is atomic (next_seq RPC) and not two clients racing a client-side counter.","","phase3.registration.full, phase3.registration.sameDaySecond","","None","","","","","P3-S01","Two patients issued the same UHID on a busy morning is a data-integrity incident — every subsequent record for both people merges into one chart.","Boundary","hospital_admin (Hospital A)","patients where hospital_id = A and full_name in ('Kavya Prasad','Meena Prasad') → uhid sequence consecutive","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-006","3A Registration","P2","DPDP consent text is shown before submission","1) Open /patients 2) Click ""Register New Patient"" 3) Scroll to the bottom of the form","A DPDP Act 2023 consent statement is displayed next to the checkbox, naming the hospital and the purpose of data collection (getDPDPConsentText()).","","None","","Hospital Profile name configured","","","","","P3-S01","Collecting PHI without a shown consent purpose violates the DPDP Act 2023 purpose-limitation requirement.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-007","3A Registration","P1","Register Patient is disabled until DPDP consent is checked","1) Open /patients 2) Click ""Register New Patient"" 3) Fill Full Name only, leave the DPDP checkbox unticked 4) Inspect the Register Patient button","The Register Patient button stays disabled while the DPDP checkbox is unticked, so no patient can be saved without recorded consent.","","phase3.registration.full.fullName","","None","","","","","P3-S01","A patient saved without DPDP consent is a compliance breach that cannot be fixed retroactively — the button gate is the only enforcement point.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Kavya Prasad' → no row created while unticked","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-008","3A Registration","P1","A patient cannot be saved without a name","1) Open ""Register New Patient"" 2) Leave Full Name blank, fill Phone only 3) Tick DPDP consent 4) Click Register Patient Route: /patients","A ""Name must be at least 2 characters"" field error is shown and no patient row is created.","","None","","None","","","","","P3-S01","An unnamed patient is unfindable at every later touch-point — OPD token, lab order, bill — none of which can be raised against a blank name.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and full_name is null or empty → no new row","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-009","3A Registration","P2","A single-character name is rejected","1) Open ""Register New Patient"" 2) Type ""A"" into Full Name 3) Tick DPDP consent 4) Click Register Patient Route: /patients","The same ""Name must be at least 2 characters"" error blocks the save.","","phase3.registration.invalid.shortName","","None","","","","","P3-S01","A one-character name is almost always a data-entry slip that produces an unsearchable record.","Boundary","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'A' → no row","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-010","3A Registration","P2","A phone number shorter than 10 digits is rejected","1) Open ""Register New Patient"" 2) Fill Full Name 3) Type phase3.registration.invalid.shortPhone (6 digits) into Phone 4) Tick DPDP consent 5) Click Register Patient Route: /patients","A ""Phone must be exactly 10 digits"" field error blocks the save.","","phase3.registration.invalid.shortPhone","","None","","","","","P3-S01","An unreachable phone number breaks the kiosk/portal OTP check-in, appointment reminders and outstanding-balance follow-up.","Negative","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-011","3A Registration","P2","A phone number longer than 10 digits is rejected","1) Open ""Register New Patient"" 2) Fill Full Name 3) Type phase3.registration.invalid.longPhone (11 digits) into Phone 4) Tick DPDP consent 5) Click Register Patient Route: /patients","The same ""Phone must be exactly 10 digits"" error blocks the save.","","phase3.registration.invalid.longPhone","","None","","","","","P3-S01","An 11-digit value stored as ""phone"" corrupts every SMS/WhatsApp integration that assumes a 10-digit Indian mobile number.","Boundary","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-012","3A Registration","P2","Phone is optional — registration succeeds with it left blank","1) Open ""Register New Patient"" 2) Fill Full Name only 3) Tick DPDP consent 4) Click Register Patient Route: /patients","The patient saves successfully with phone stored as null — this is the path an MLC/unknown patient later becomes identifiable through.","","phase3.registration.invalid.shortName is NOT used here — use a fresh name, e.g. reuse phase3.registration.receptionistEntry.fullName","","None","","","","","P3-S01","Requiring a phone would make walk-in patients with no mobile (common for elderly rural patients) unregisterable.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Farida Sheikh' → phone is null","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-013","3A Registration","P1","A date of birth in the future is rejected","1) Open ""Register New Patient"" 2) Fill Full Name 3) Set DOB to tomorrow's date 4) Tick DPDP consent 5) Click Register Patient Route: /patients","A ""Date of birth must be in the past"" field error blocks the save.","","None (computed: today + 1 day)","","None","","","","","P3-S01","A future DOB produces a negative age everywhere it is displayed and breaks paediatric drug-dosing calculations that key off age.","Negative","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-014","3A Registration","P2","A date of birth of exactly today is accepted","1) Open ""Register New Patient"" 2) Fill Full Name 3) Set DOB to today's date 4) Tick DPDP consent 5) Click Register Patient Route: /patients","The save succeeds — this is the exact boundary a same-day newborn registration relies on.","","None (computed: today)","","None","","","","","P3-S01","The newborn scenario (P3-S04) depends on DOB = today being a valid, non-rejected value.","Boundary","hospital_admin (Hospital A)","patients where hospital_id = A and dob = current date → row exists","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-015","3A Registration","P2","Age-only entry (no DOB) computes and stores a DOB","1) Open ""Register New Patient"" 2) Fill Full Name and Age from phase3.registration.ageOnly, leave DOB blank 3) Tick DPDP consent 4) Click Register Patient Route: /patients","The saved patient's dob column is populated as (today's year − entered age), so age-based screens (paediatric dosing, geriatric alerts) work even though DOB was never typed.","","phase3.registration.ageOnly — Gopal Naidu, age 58","","None","","","","","P3-S01","Front-desk staff frequently know a patient's age but not their exact birth date — the app must not silently leave dob null in that case.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Gopal Naidu' → dob is not null","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-016","3A Registration","P3","Selecting patient category CGHS reveals the Beneficiary No. field","1) Open ""Register New Patient"" 2) Click the ""CGHS"" category chip Route: /patients","A text field placeholder ""CGHS Beneficiary No."" appears beneath the category chips.","","phase3.registration.cghs.beneficiaryNo","Insurance","None","","","","","P3-S01","CGHS billing later needs the beneficiary number on the claim — if the field never appears, front desk has nowhere to capture it at registration time.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
