TC#,Section,Priority,Test Case,Steps,Expected Result,Status(PASS/FAIL/BLOCKED),mock data,Cross-Module Link,Settings need to set before entering to the module,Actual Result(What happened),Console Error(Copy-paste red text),Screenshot(Y/N),Notes,Journey Scenario,Why This Exists,Test Type,Role/Login,Supabase Verify,Playwright Spec,Defect ID
TC-P2A-001,2A Settings Hub,P2,"Settings hub loads with heading, subtitle and search box",1) Log in as hospital_admin (Hospital A) 2) Open /settings 3) Observe the header,"Heading ""Settings"" and subtitle ""Configure your hospital system"" render, with a search box placeholdered ""Search settings or a module…"". No red console errors.",,Staff logins — hospital_admin (Hospital A),All modules,Tier 0: hospital_admin can reach /settings (Phase 1 §1E),,,,,P2-Setup,"The hub is the only doorway to all 50 configuration screens. If it fails to render, a hospital cannot configure anything and go-live stops dead.",Positive,hospital_admin (Hospital A),None — pure UI render,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-002,2A Settings Hub,P1,Every routable /settings/* route has a catalogue entry,1) Open /settings 2) Compare the rendered card routes against the 50 settings routes registered in src/App.tsx,All 50 App.tsx /settings/* routes appear in the catalogue. Zero routes are reachable only by typing the URL.,,settings.helpers.ts SETTINGS_SCREENS (50 routes),All modules,None,,,,,P2-Setup,"settingsCatalog.ts exists because six settings routes once had no card and were unreachable by browsing OR search. A screen a hospital cannot find is a screen it never configures, and every silent-fallback defect downstream starts there.",Cross-Module,hospital_admin (Hospital A),None — compares App.tsx routes to the rendered catalogue,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-003,2A Settings Hub,P3,Two alias cards point at a route another card already owns,"1) Open /settings 2) Count the rendered cards 3) Locate ""Self-Service Kiosk"" and ""WhatsApp / WATI""","52 cards render for 50 distinct routes. ""Self-Service Kiosk"" opens /settings/tv-display and ""WhatsApp / WATI"" opens /settings/whatsapp — the same routes as ""TV Queue Display"" and ""WhatsApp Bot"".",,settings.helpers.ts ALIAS_CARDS,"TV Display, CRM",None,,,,,P2-Setup,"One route legitimately serves two jobs, so a receptionist searching ""kiosk"" still lands somewhere useful. Recorded deliberately so a future card count of 52 against 50 routes is not mistaken for a duplicate-registration bug.",Positive,hospital_admin (Hospital A),None — pure UI render,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-004,2A Settings Hub,P3,Groups render in the declared SETTINGS_GROUP_ORDER,1) Open /settings 2) Read the group headings top to bottom,"Groups appear in order: Identity, Plan & Modules, Structure, People & Access, Clinical, Queue Display & Kiosk, Workflows, Integrations, Inventory & Stores, Audit & Compliance, Go-Live & Migration.",,settingsCatalog.ts SETTINGS_GROUP_ORDER,All modules,None,,,,,P2-Setup,"The order is the configuration order — Identity and Structure must come before Clinical, or an administrator works the grid top to bottom and hits prerequisites that do not exist yet.",Positive,hospital_admin (Hospital A),None — pure UI render,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-005,2A Settings Hub,P2,Clicking the Departments card navigates to /settings/departments,"1) Open /settings 2) Click the ""Departments"" card",The browser lands on /settings/departments and the Departments screen renders.,,settings.helpers.ts SETTINGS_SCREENS — /settings/departments,"OPD, IPD, HR",None,,,,,P2-Setup,"Cards are buttons, not links, so navigation is JavaScript. If a card stops navigating there is no href fallback and the screen becomes unreachable by browsing.",Positive,hospital_admin (Hospital A),None — client-side navigation,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-006,2A Settings Hub,P2,"Searching ""pharmacy"" surfaces the pages that actually configure Pharmacy","1) Open /settings 2) Type ""pharmacy"" into the search box","Drug Formulary appears under direct matches, and cross-cutting pages that configure pharmacy (Configurable Dropdowns, Staff, IPD Ancillary Payment, Store Locations) appear in the separate ""Also configures"" bucket.",,settingsCatalog.ts MODULE_ALIASES — pharmacy,Pharmacy,None,,,,,P2-Setup,"Module-name search was rewritten because ""pharmacy"" used to return almost nothing — the word appears in none of the relevant card titles. An administrator who cannot find the drug route dropdown reports ""OPD prescribing is broken"" instead.",Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-007,2A Settings Hub,P2,"Searching the alias ""pathology"" surfaces Lab Test Master","1) Open /settings 2) Type ""pathology"" into the search box","Lab Test Master appears in the results even though the word ""pathology"" is in neither its title nor its description.",,settingsCatalog.ts MODULE_ALIASES — lab,Lab,None,,,,,P2-Setup,"Indian hospitals say pathology, not laboratory. Matching only the product's own vocabulary means the people who need the screen cannot find it.",Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-008,2A Settings Hub,P2,"Searching the alias ""theatre"" surfaces the OT Checklist","1) Open /settings 2) Type ""theatre"" into the search box","OT Checklist appears in the results. The Indian English spelling ""theatre"" matches, not only ""theater"".",,settingsCatalog.ts MODULE_ALIASES — ot,"OT, Anaesthesia",None,,,,,P2-Setup,Indian English is the house style for this product. A search that only answers to the American spelling fails the users it was written for.,Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-009,2A Settings Hub,P2,"Searching the alias ""x-ray"" surfaces Radiology Modalities","1) Open /settings 2) Type ""x-ray"" into the search box",Radiology Modalities appears in the results. The hyphenated form matches.,,settingsCatalog.ts MODULE_ALIASES — radiology,Radiology,None,,,,,P2-Setup,"Radiology modalities must be created before studies, or the module shows ""No studies configured"". Users search for the machine name they know, not the word ""modality"".",Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-010,2A Settings Hub,P2,"Searching the alias ""TPA"" surfaces Payer Masters","1) Open /settings 2) Type ""TPA"" into the search box","Payer Masters appears in the results, matched case-insensitively on the insurance alias.",,settingsCatalog.ts MODULE_ALIASES — insurance,"Insurance, Billing",None,,,,,P2-Setup,"Without a payer master there is no insurance selection at admission, so every insured patient is booked as cash. Billing staff search ""TPA"" — that is the only word they use.",Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
TC-P2A-011,2A Settings Hub,P2,"Searching the alias ""ayushman"" surfaces the PMJAY-related pages","1) Open /settings 2) Type ""ayushman"" into the search box",Payer Masters and Configurable Dropdowns (government_schemes) appear in the results.,,settingsCatalog.ts MODULE_ALIASES — pmjay,"PMJAY, Insurance, Billing",None,,,,,P2-Setup,"PMJAY empanelment is a common sales trigger, and Ayushman Bharat is the name every Indian hospital uses. Missing it means a new customer cannot configure the scheme that made them buy.",Positive,hospital_admin (Hospital A),None — pure UI search,e2e/phase-02-settings/P2A.hub.spec.ts,
