"TC#","Section","Priority","Test Case","Steps","Expected Result","Status(PASS/FAIL/BLOCKED)","mock data","Cross-Module Link","Settings need to set before entering to the module","Actual Result(What happened)","Console Error(Copy-paste red text)","Screenshot(Y/N)","Notes","Journey Scenario","Why This Exists","Test Type","Role/Login","Supabase Verify","Playwright Spec","Defect ID"
"TC-P4A-001","4A Queue & Tokens","P2","OPD queue screen loads with no console errors","1) Log in as hospital_admin (Hospital A) 2) Open /opd 3) Wait for the queue panel to render 4) Open DevTools (F12) → Console","The OPD Queue panel, Call Next Patient and Register Walk-in all render, and the console shows no red errors other than favicon/ResizeObserver noise.","","None","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","If the OPD queue does not load, the busiest module in the hospital is unusable and every patient of the day has to be handled on paper.","Positive","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-002","4A Queue & Tokens","P2","Register Walk-in action is offered to a hospital_admin","1) Open /opd 2) Look at the footer of the OPD Queue panel","A ""+ Register Walk-in"" button is visible and enabled.","","None","","Roles & Permissions: opd → register_walkin granted to hospital_admin","","","","","P4-S01","Registering a walk-in is the first action of every OPD day; without the control the queue can never be populated.","Positive","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-003","4A Queue & Tokens","P2","The walk-in modal opens with an empty details form","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Inspect the Search Patient box and the Full Name field","The modal opens on the details step with the patient search box visible and Full Name blank.","","None","","None","","","","","P4-S01","A form still holding the previous patient's details would attach the wrong name to a new token and a new bill.","Positive","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-004","4A Queue & Tokens","P1","Department dropdown is populated from the departments master","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Open the Department dropdown","The dropdown lists the configured departments and includes General Medicine — it is not empty and does not show only ""Select..."".","","Master data — Hospital A → Departments","Settings","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","SETTINGS_PREREQ_MATRIX states that with no departments no OPD token can be created at all — this case separates that configuration gap from a code defect.","Positive","hospital_admin (Hospital A)","departments where hospital_id = A → at least one active row, including General Medicine","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-005","4A Queue & Tokens","P2","Choosing a department filters the Doctor dropdown to that department","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Select Department ""General Medicine"" 4) Open the Doctor dropdown","The Doctor list contains Suresh Menon, the General Medicine consultant.","","Master data — Hospital A → Doctors & consultation fees","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","The desk must be able to book the patient with the doctor they are actually seeing, or the token lands in the wrong queue and prices at the wrong rate.","Positive","hospital_admin (Hospital A)","users where hospital_id = A and role = doctor and department = General Medicine → Dr. Suresh Menon exists","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-006","4A Queue & Tokens","P2","A doctor from another department is not offered once a department is chosen","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Select Department ""General Medicine"" 4) Read every option in the Doctor dropdown","Kavitha Rao (Obstetrics & Gynaecology) does NOT appear in the list.","","Master data — Hospital A → Doctors & consultation fees","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","A token raised against the wrong specialty bills the wrong consultation fee and puts the patient in a queue the doctor is not running.","Negative","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-007","4A Queue & Tokens","P2","The token to be issued is previewed before payment is taken","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Select Department General Medicine and Doctor Suresh Menon 5) Read the token preview panel","A panel reads ""Token <number> will be assigned"" with a non-blank number, before the payment step.","","PT-QA-0001 Ramesh Kumar","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","The desk tells the patient their number before taking money; without a preview the patient is charged before anyone knows what they are queueing for.","Positive","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-008","4A Queue & Tokens","P1","A walk-in for an existing patient writes an opd_tokens row","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Proceed to Payment 6) Pay and issue the token","An opd_tokens row exists for PT-QA-0001 with status = waiting and visit_date = today.","","PT-QA-0001 Ramesh Kumar","Billing","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","The receipt on screen is not the record. Every later step of the phase — consultation, orders, bill — hangs off this row, so if it is missing nothing downstream can exist.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → status = waiting","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-009","4A Queue & Tokens","P2","The issued token number is non-blank and carries the queue prefix","1) Register a walk-in for PT-QA-0001 with Dr. Suresh Menon at /opd 2) Read token_number and token_prefix from opd_tokens","token_number is non-empty and contains token_prefix.","","PT-QA-0001 Ramesh Kumar","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","A blank token number leaves the display board and the queue with nothing to call, so the patient is never seen even though they are registered and have paid.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) → token_number not null and contains token_prefix","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-010","4A Queue & Tokens","P1","Two walk-ins registered moments apart receive different token numbers","1) Open /opd 2) Register a walk-in for PT-QA-0001 with Dr. Suresh Menon 3) Immediately register a second walk-in for PT-QA-0003 with the same doctor 4) Compare the two token_number values","The two tokens carry different numbers, proving the atomic generate_token_number RPC ran rather than the client-side preview being reused.","","PT-QA-0001 Ramesh Kumar, PT-QA-0003 Anitha Menon","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","Two patients answering to the same token on a busy morning is a queue collision: one is seen twice and the other is never called, and both bills attach to whichever token the desk picks.","Boundary","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and visit_date = today → the two rows have distinct token_number values","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-011","4A Queue & Tokens","P1","A brand-new patient registered at the OPD desk is saved and issued a token","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Enter the new patient from phase4.walkIn (name, age, address, allergies) 4) Department General Medicine, Doctor Suresh Menon 5) Tick DPDP consent 6) Proceed to Payment and issue the token","A patients row exists with a non-null UHID, and an opd_tokens row exists for that patient.","","phase4.walkIn — Ramanjaneyulu Gadde","Patients, Billing","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","Most Indian OPD patients register at the counter for the first time on the day they attend, so registration-plus-token in one flow is the primary path, not an edge case.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Ramanjaneyulu Gadde' → uhid not null; opd_tokens where patient_id = that id → row exists","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-012","4A Queue & Tokens","P1","A new patient cannot be registered at OPD without DPDP consent","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Enter Full Name from phase4.walkIn 4) Select Department and Doctor 5) Leave the DPDP consent checkbox unticked 6) Click ""Proceed to Payment""","A ""DPDP consent required"" message is shown, the flow stays on the details step, and NO patients row is created.","","phase4.walkIn — Ramanjaneyulu Gadde","","None","","","","","P4-S01","A patient record created without recorded consent is a DPDP Act 2023 breach that cannot be fixed retroactively — the checkbox gate is the only enforcement point on this surface.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Ramanjaneyulu Gadde' → 0 rows","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-013","4A Queue & Tokens","P2","A walk-in with no patient name is refused","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Leave Full Name blank 4) Select Department General Medicine and Doctor Suresh Menon 5) Click ""Proceed to Payment""","A ""Patient name is required"" message blocks the step and no token is created.","","phase4.invalid.noName","","None","","","","","P4-S01","An unnamed patient is unfindable at every later touch point — token, lab order, prescription and bill all key on the name the desk typed.","Negative","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and visit_date = today → no new row with a blank patient name","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-014","4A Queue & Tokens","P2","A walk-in with no department is refused","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Enter a Full Name 4) Leave Department unselected 5) Click ""Proceed to Payment""","A ""Department is required"" message blocks the step and no token is created.","","phase4.walkIn — Ramanjaneyulu Gadde","","None","","","","","P4-S01","A token with no department belongs to no queue and prices against no rate card, so it is invisible to the doctor and mis-billed at the same time.","Negative","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and department_id is null and visit_date = today → 0 rows","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-015","4A Queue & Tokens","P1","A walk-in with no doctor is refused","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Enter a Full Name 4) Select Department General Medicine 5) Leave Doctor unselected 6) Click ""Proceed to Payment""","A ""Doctor is required"" message blocks the step and no token is created.","","phase4.walkIn — Ramanjaneyulu Gadde","Billing","None","","","","","P4-S01","With no doctor the fee lookup has no doctor tier to read and drops through to the department, global and then the hardcoded ₹500 — the visit is silently under-billed.","Negative","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and doctor_id is null and visit_date = today → 0 rows","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-016","4A Queue & Tokens","P2","Priority urgent is persisted on the token","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Set Priority to Urgent 6) Pay and issue the token","opd_tokens.priority = 'urgent' for the new row.","","PT-QA-0001 Ramesh Kumar","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","An urgent patient sorted as routine waits behind the entire morning queue, which in an Indian OPD can be three hours.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → priority = urgent","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-017","4A Queue & Tokens","P1","Priority emergency is persisted on the token","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Set Priority to Emergency 6) Pay and issue the token","opd_tokens.priority = 'emergency' for the new row.","","PT-QA-0001 Ramesh Kumar","Emergency","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","Emergency is the top of the triage order; if the highest priority value does not persist, the queue cannot express urgency at all and triage is decorative.","Boundary","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → priority = emergency","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-018","4A Queue & Tokens","P2","Visit type Emergency is persisted as visit_type","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Set Visit Type to Emergency 6) Pay and issue the token","opd_tokens.visit_type = 'emergency'.","","PT-QA-0001 Ramesh Kumar","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","The emergency consultation rate is charged off this field; without it the higher fee cannot be justified to a patient or an auditor who queries the bill.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → visit_type = emergency","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-019","4A Queue & Tokens","P2","Visit purpose Follow-Up is persisted as visit_purpose","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Set Visit Purpose to Follow-Up 6) Pay and issue the token","opd_tokens.visit_purpose = 'follow_up'.","","PT-QA-0001 Ramesh Kumar","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S02","Follow-up pricing and the revisit-discount rules both read this field, so a lost value turns a free review into a full-fee consultation.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → visit_purpose = follow_up","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-020","4A Queue & Tokens","P2","Payer type defaults to cash and is persisted on the token","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon 5) Leave Payer Type at its default 6) Pay and issue the token","opd_tokens.payer_type = 'cash'.","","PT-QA-0001 Ramesh Kumar","Billing, Insurance","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","The payer captured at the first visit is what the pre-auth team reads if the patient is later admitted; a lost value means the cashless request starts from nothing.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → payer_type = cash","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-021","4A Queue & Tokens","P1","Ticking Medico-Legal Case persists is_mlc and shows the 24-hour police notice","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0032 4) Department General Medicine, Doctor Suresh Menon 5) Tick ""Medico-Legal Case (MLC)"" and enter the police station 6) Pay and issue the token","A red notice reading ""MLC — Inform police within 24 hours"" is displayed, and opd_tokens.is_mlc = true.","","phase4.mlc — PT-QA-0032 Arun Prakash, Banjara Hills Police Station","MRD, Emergency","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S23","An MLC not flagged at registration is not reported to the police, and the hospital has committed a statutory offence before the patient has left the building.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0032) and visit_date = today → is_mlc = true","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-022","4A Queue & Tokens","P2","A newly issued token appears in the queue immediately","1) Open /opd 2) Register a walk-in for PT-QA-0001 with Dr. Suresh Menon 3) Close the receipt 4) Read the OPD Queue panel","Ramesh Kumar is listed in the queue without a manual page refresh.","","PT-QA-0001 Ramesh Kumar","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","A token that is created but not shown leaves the doctor with nobody to call while the patient sits outside believing they are in the queue.","Positive","hospital_admin (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → row exists and is rendered","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-023","4A Queue & Tokens","P3","The queue search finds a waiting patient by UHID","1) Open /opd 2) Register a walk-in for PT-QA-0001 3) Type PT-QA-0001 into the queue search box","The queue narrows to Ramesh Kumar.","","PT-QA-0001 Ramesh Kumar","","Tier 0 complete; departments, staff and service_master consultation rows configured (SETTINGS_PREREQ_MATRIX OPD row)","","","","","P4-S01","On a 200-patient morning the desk finds a patient by searching, not by scrolling; without search the queue panel is unusable after the first hour.","Positive","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-024","4A Queue & Tokens","P3","A queue search that matches nothing shows an empty state","1) Open /opd 2) Type ZZZ-NO-SUCH-PATIENT-9999 into the queue search box 3) Read the queue panel","An empty-state message such as ""No patients in queue"" is shown instead of the unfiltered list.","","None","","None","","","","","P4-S01","If a no-match search silently shows everything, the desk cannot tell a missing patient from a broken filter and re-registers someone who is already in the queue.","Negative","hospital_admin (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
